,true_labels,predicted_labels
109738,9,9
29869,17,25
63808,12,12
120356,4,4
47575,8,8
4939,17,17
75097,8,8
12551,16,16
7201,17,17
85034,8,8
46885,17,17
14831,17,17
45001,20,20
92188,12,12
84299,8,8
18107,17,17
89245,28,16
127,15,15
124967,28,28
3896,17,17
40037,28,17
38103,8,8
110180,17,17
15465,17,17
53275,27,27
109140,17,17
66666,8,8
102590,0,0
106007,3,3
43272,16,17
34953,17,17
3064,17,17
83894,6,6
107826,3,3
100730,3,3
103122,10,16
9590,17,17
57068,17,17
111219,30,17
44114,18,18
63764,27,27
124096,12,12
45088,8,8
51768,17,17
29474,17,17
65173,17,17
56595,27,27
31462,7,7
6980,28,28
72252,17,17
2502,8,8
58319,17,17
45403,8,8
98963,12,12
71475,18,18
97111,5,5
72507,8,8
112745,22,22
29531,25,25
59457,7,7
39755,17,17
108690,3,3
45989,2,2
99934,13,13
28977,17,17
76236,17,17
103519,17,17
19484,12,12
34615,8,8
80515,8,8
83699,15,15
54456,25,25
108784,3,3
79814,3,3
83431,8,8
3955,17,17
55722,17,13
73320,21,21
56353,17,17
39835,25,25
62892,2,2
14222,8,8
13041,17,17
2572,28,8
54864,1,1
74623,25,25
88362,13,16
48057,1,2
62797,1,1
35831,22,22
29417,26,26
55348,28,28
91363,18,18
41934,8,8
980,8,8
67134,17,17
69601,21,21
43301,17,17
94444,18,18
54602,17,17
7879,17,17
124706,12,12
89371,28,28
11212,17,17
94264,3,3
57617,17,17
30217,17,17
67128,17,17
98507,30,30
37691,1,1
4404,6,6
674,29,25
4656,2,2
78317,2,2
99529,30,30
53234,25,25
2891,2,2
59981,30,17
96442,28,28
121622,12,12
103326,3,3
46862,17,17
94882,8,8
60767,8,8
70489,7,7
9410,8,8
82260,17,17
82417,17,17
8579,8,8
37286,28,25
49091,17,17
83228,17,17
117721,19,19
45880,17,17
36658,17,17
107910,0,0
55086,18,18
70299,1,1
44753,8,17
89347,19,19
66383,17,17
112411,8,8
111787,15,15
11897,17,17
58158,17,17
64294,5,5
100113,23,23
37053,1,1
115093,11,11
84424,8,8
34270,25,25
31640,17,17
99549,3,3
58429,28,28
5614,18,18
30886,8,8
53313,8,8
74059,21,21
59425,5,5
1472,14,14
75092,10,16
51325,25,25
9631,17,17
49363,16,12
35683,11,11
101792,13,13
68671,8,8
5996,17,17
66570,24,24
113203,8,8
7164,8,8
226,6,6
105665,12,12
26002,29,29
90905,8,8
78098,21,21
90379,8,8
31731,21,21
6048,2,2
79816,11,11
54107,27,27
15478,17,17
8008,21,21
83917,17,17
12601,11,17
15346,5,5
121325,17,17
70142,1,1
56191,17,17
72543,21,21
74775,20,20
50194,28,28
78983,3,3
62640,17,17
86460,8,8
83571,5,8
117743,26,26
119141,17,17
46186,20,20
29353,12,12
69949,17,6
116197,12,23
84073,8,8
59947,25,25
124867,21,21
115749,8,8
69589,17,17
31241,2,2
44599,12,12
886,5,5
67236,27,27
66659,17,17
86084,8,8
69301,27,27
81328,8,8
40061,8,8
84456,8,8
10883,17,17
85138,10,10
90813,0,0
107474,17,17
15990,12,12
7623,8,8
30874,5,8
55995,17,17
82414,20,12
68988,2,2
41479,8,8
102289,3,3
106817,3,3
17293,19,19
113850,3,3
98432,2,2
74093,11,11
70622,6,6
5772,17,30
10120,16,16
40171,11,11
33873,5,12
75865,12,12
57686,25,11
87357,26,26
30356,17,17
28825,5,5
120102,11,11
40895,17,17
43134,17,17
94980,12,12
25709,14,14
2683,17,17
33869,2,2
804,17,17
39665,25,25
103713,6,6
100130,16,13
70860,12,12
35875,8,8
105377,3,3
105636,13,13
67605,21,21
66898,3,3
99807,16,16
118253,3,3
13659,21,21
5789,14,14
115319,10,10
632,17,17
47992,15,17
41727,22,17
29762,11,11
40203,25,25
15415,12,12
12783,17,17
21054,17,17
49991,13,13
66925,21,21
42067,12,12
54630,2,2
13585,8,8
41344,25,25
78449,25,25
22915,12,12
68277,8,8
13912,8,8
63817,17,17
18136,17,17
47868,17,15
50856,21,21
646,17,17
100189,13,13
76753,24,24
59250,5,5
24572,17,17
39444,8,8
1043,17,17
98734,4,4
1176,2,2
74835,22,22
24824,12,12
118055,30,30
59678,17,17
72548,8,8
18694,17,17
83875,8,8
4118,17,17
114847,17,17
32586,8,8
106352,3,3
28105,3,17
91880,7,7
97689,4,4
76191,8,8
40101,17,17
99793,20,20
81592,8,8
61000,17,17
8449,18,18
113263,8,8
89748,11,11
62367,6,6
124267,22,22
123907,12,12
43171,1,1
38976,8,8
73912,21,21
112928,0,0
41657,17,17
69850,25,25
28009,17,15
53571,25,25
122653,11,11
88341,8,8
44395,1,1
62608,17,17
66032,20,20
60025,17,17
61650,14,14
17471,17,17
28256,8,8
19516,2,2
122127,15,15
54141,27,27
34342,17,17
37791,18,18
119705,16,16
60331,17,17
36770,8,8
94556,17,17
47463,17,17
66364,17,17
103066,0,0
79559,3,3
8676,1,1
6363,17,17
101877,30,30
43488,17,17
61067,5,5
124498,9,9
20371,19,19
18952,18,18
112068,8,8
15635,18,18
78450,17,17
35452,17,17
12847,29,29
104100,5,5
110142,28,28
106407,26,26
54696,25,25
15891,8,8
33396,17,17
23764,17,17
67767,17,17
61961,27,17
14949,17,17
105233,16,16
33192,22,22
81123,17,17
28980,2,2
90939,9,9
56484,17,17
96300,0,18
97833,3,3
40060,17,17
38137,8,8
83082,20,20
92332,30,30
100747,0,0
96807,17,17
30768,25,25
105775,9,9
62879,17,17
27379,17,17
118241,3,17
66910,17,17
122664,22,22
50266,25,25
36450,17,17
79340,8,17
75643,6,6
119658,22,22
74267,15,15
88871,12,12
102801,9,8
110908,3,3
122924,12,12
120422,2,2
95124,3,3
15294,29,29
109552,19,19
64452,12,12
19936,29,29
39036,13,8
96902,0,0
18102,8,8
73574,6,6
19384,8,8
104629,18,18
22858,29,25
112611,3,3
109774,12,12
46457,30,30
93121,12,12
113800,22,22
122405,17,17
35478,17,17
91822,28,16
17520,29,29
120712,26,26
17496,17,17
109315,18,18
55484,17,17
53980,8,8
38995,1,1
62706,17,17
95483,10,10
4293,8,17
27660,6,6
73859,17,17
17415,29,29
68030,17,17
18880,16,16
59157,21,21
74605,17,17
14336,5,5
103195,12,12
68239,2,2
55081,6,6
2231,17,17
112546,0,0
2532,29,29
71529,17,17
83426,9,9
73751,24,24
55224,17,17
80487,24,24
65872,3,3
80995,17,17
9482,5,17
87021,22,22
122770,9,25
10032,17,17
120486,30,30
68286,15,15
19964,17,17
3245,17,17
44915,17,17
48678,18,18
110653,23,23
42258,2,2
72423,17,17
51849,16,17
7864,14,14
35508,17,17
85252,19,19
27070,17,17
104420,12,12
33293,11,11
97534,3,3
73371,17,2
82118,14,14
93745,17,17
27741,5,5
87683,17,17
9709,8,8
101362,19,19
114408,13,13
93251,17,17
13756,8,8
31141,17,17
77335,20,20
113901,26,26
79820,17,17
101399,8,8
88809,6,6
85876,17,17
99629,28,28
12600,17,17
61746,11,11
15881,13,13
29226,27,27
22851,29,17
46544,17,17
28509,23,23
34257,17,17
96860,12,12
105448,5,5
90252,23,23
51394,21,21
35761,17,17
76766,17,17
82491,15,15
60407,8,8
74957,17,17
114113,26,26
75894,6,6
123417,12,12
107976,27,27
67544,8,8
61548,3,3
34957,17,17
38093,17,17
85268,8,8
95877,0,0
60567,9,9
62928,8,8
102767,16,16
32301,25,25
54398,20,20
69849,25,25
120349,2,2
77304,5,5
100617,8,8
12650,15,15
115275,17,17
41027,21,21
94199,3,3
77768,17,17
78324,17,17
122140,3,3
47923,21,21
11699,17,17
101943,30,30
18686,17,17
2071,5,2
107429,3,3
44123,17,17
86042,4,4
59146,12,12
85996,16,16
109526,12,12
124010,5,5
70165,23,23
41752,13,13
75027,17,17
27263,19,19
87572,17,17
100751,12,12
50905,7,7
48337,17,17
13035,11,11
97389,8,8
91584,17,17
26767,18,18
85290,21,21
105803,19,19
101395,0,0
13557,29,17
74098,18,18
27895,17,17
413,17,17
59373,17,17
79639,17,17
97902,0,0
69140,17,17
16789,17,17
88784,17,17
118777,17,17
119215,17,17
62454,3,17
52427,1,1
470,17,17
93369,3,3
50134,25,25
35703,18,18
117176,9,9
45492,17,17
68218,17,17
120815,8,8
84919,5,5
10672,17,17
69149,24,24
75013,11,11
47781,17,17
59071,10,10
48491,8,8
64730,17,17
93061,8,8
123134,15,8
71585,27,27
87088,18,18
66974,17,17
121389,18,18
65616,24,24
60668,17,17
34652,8,8
20205,16,19
73952,22,22
101618,3,17
38473,17,17
575,5,5
13645,8,8
18396,17,17
100307,16,17
76402,17,17
100491,12,12
7320,16,16
82657,6,6
13433,17,17
73232,17,17
121841,18,18
77727,4,4
72457,23,23
55899,18,18
47125,17,2
43797,16,16
58678,17,17
47033,3,3
14529,5,5
65712,20,20
28086,27,27
87761,8,8
70157,12,12
92456,17,17
22835,8,8
114331,19,19
49564,28,28
56885,13,13
120041,18,18
89414,17,2
100015,17,17
110421,17,17
37887,11,17
44177,25,25
76315,17,17
23369,5,5
55518,8,8
43396,28,28
82401,12,12
116396,19,19
75155,17,17
108338,22,22
10039,17,17
55028,19,19
76496,8,17
44951,17,17
67366,17,17
121361,22,22
32787,26,26
54258,19,19
111966,16,12
98008,17,17
106051,23,23
49166,17,17
100763,8,8
115257,19,19
7395,18,18
98207,12,12
38125,17,17
61546,18,18
49880,8,8
77636,12,12
35346,2,2
8506,18,18
9636,17,17
75770,17,17
73534,15,15
80555,28,28
5346,26,26
24929,11,11
56716,17,17
27233,17,17
61403,12,12
76333,23,23
114810,3,3
105435,7,7
82695,8,8
11931,17,17
106577,17,17
58030,24,24
300,17,17
121251,17,17
121302,17,17
18965,8,2
119268,26,26
17954,12,12
103730,12,12
63812,6,6
51762,17,17
97893,11,11
37330,18,18
114900,27,27
97329,26,26
46616,28,28
26550,8,8
3580,17,17
67736,16,2
77494,10,10
6177,8,8
51521,10,3
19354,17,17
28852,17,17
103372,8,8
18994,8,8
102712,3,3
91243,12,8
40125,17,17
8033,8,8
60266,17,17
83188,16,16
117855,23,8
36810,13,11
16379,8,8
88026,6,6
57595,30,30
31053,12,12
28171,17,17
91978,17,17
77457,15,15
31776,8,8
18116,12,12
11459,17,17
39783,1,17
115177,8,8
121152,14,17
54095,1,1
49995,28,28
76933,19,12
89501,3,3
61766,18,18
41510,14,14
35818,17,17
38854,1,8
73397,8,8
92214,17,17
72136,11,11
84628,13,13
50059,21,21
73342,8,8
36755,17,17
7326,29,29
124202,12,12
34879,8,8
123767,17,17
58454,17,17
53052,17,17
56482,21,21
120122,11,11
27311,2,2
19368,19,19
24079,5,5
12786,20,20
72362,8,8
36635,22,22
97278,13,13
24786,12,12
55010,25,25
38869,17,17
90471,10,10
78020,18,18
84602,17,17
87553,8,8
30162,25,25
10085,28,28
60076,21,21
93866,17,17
4645,28,19
109210,3,3
21350,29,29
72366,19,19
43847,17,17
121891,8,8
42426,17,17
89141,11,11
40008,3,3
119677,12,12
30046,7,7
51751,18,18
112461,17,17
86768,17,17
31071,15,17
53963,15,15
102670,28,28
55343,3,17
31470,18,18
26373,2,2
43883,18,18
35850,17,17
113350,8,8
41362,17,17
100748,21,21
70462,17,17
97877,8,8
16240,18,18
73358,22,22
99859,30,30
36637,22,22
117465,28,22
27836,6,6
85308,17,17
63077,15,22
99565,11,11
53226,21,8
9351,17,17
96843,26,26
17095,29,29
59107,8,8
51180,1,1
42450,11,17
116310,3,3
78454,18,18
77490,17,17
36436,23,23
2211,17,17
114954,4,4
37015,1,1
105762,21,21
86452,8,8
86307,8,8
81356,17,17
10752,17,17
50280,17,17
98070,9,9
56495,8,8
122125,3,3
68846,17,17
78805,27,27
23325,17,17
70670,24,24
25969,17,17
120342,21,21
6541,17,17
31735,17,17
5428,17,17
81939,16,16
33475,8,8
90358,8,8
2327,17,17
60286,17,17
28384,25,25
85246,8,8
30444,18,18
69088,8,8
14616,16,16
49889,21,21
3899,17,17
35123,17,17
43009,17,17
114747,16,16
55957,25,11
2807,17,17
7112,13,13
49051,17,17
42117,16,12
106243,3,3
39311,17,17
8748,29,29
30160,25,17
112716,28,28
7519,29,29
47978,17,17
41389,7,17
1599,17,17
56415,30,30
8180,15,17
118710,22,22
81245,28,28
22998,12,12
29966,21,21
79349,5,5
110175,8,8
29634,2,2
90984,22,22
76662,17,17
82496,18,18
115940,12,12
12942,17,17
104773,22,22
80585,8,8
83880,17,17
78458,17,17
17318,27,27
56807,5,5
98130,8,8
95574,8,8
95092,0,0
109058,19,19
44625,3,3
90313,12,12
29342,2,2
91950,3,3
32978,11,11
49276,5,5
59501,16,16
28726,16,16
75659,20,20
2623,8,8
5548,29,29
79171,21,21
19101,17,17
11978,5,5
876,17,17
12072,16,16
86144,16,16
86169,5,5
117563,15,15
40798,25,25
118600,12,12
42798,1,1
22809,12,12
20266,5,5
58140,8,8
43580,5,17
112528,22,22
47677,6,6
46328,17,17
124400,22,22
98954,9,9
45593,17,17
55792,3,3
80701,5,5
110790,21,21
505,17,17
3182,2,2
55520,17,17
74818,8,8
56560,5,5
118383,17,28
109981,4,4
102891,11,11
124758,18,18
63977,22,22
57953,8,8
104190,17,17
87628,28,28
83437,30,30
113179,27,27
21355,29,29
88766,7,7
14247,18,18
91301,11,11
110803,17,17
51426,30,30
94009,0,0
108991,8,8
61835,3,3
94997,4,4
90511,13,28
82965,27,27
118942,30,30
13075,3,3
123440,16,16
4537,8,8
36851,8,8
36722,17,17
12528,17,17
68059,17,17
73612,2,2
52944,3,3
107581,13,13
109860,20,20
28651,3,3
87612,17,17
115839,8,8
46150,8,8
34988,17,17
4510,17,17
66419,17,17
71136,17,17
593,2,2
100877,23,23
99271,27,27
70217,17,17
97413,8,8
120770,18,18
107177,8,8
90657,8,8
81033,17,17
110569,5,5
105707,30,30
83416,8,8
119451,8,8
48909,25,25
95468,28,28
50183,17,17
31755,17,17
15315,13,17
28260,8,8
105876,3,3
108797,26,26
5326,17,17
104307,17,17
122737,7,7
39431,16,16
15742,17,17
117267,17,17
98874,10,10
100952,12,12
73435,9,9
54204,21,21
120779,7,7
35235,17,17
100640,17,17
67213,21,21
47586,17,17
56384,25,25
49622,25,25
1656,8,8
12898,17,17
108752,11,11
8256,28,6
121603,12,12
123242,26,26
91909,11,11
20017,21,21
109232,13,13
30840,2,2
34050,5,5
84465,12,12
111484,23,23
94466,19,19
123291,17,17
122747,8,8
57312,17,17
48315,15,15
75187,27,27
74196,21,21
81002,8,8
27479,17,17
20105,8,8
51906,8,8
121855,0,0
11588,17,17
35653,25,25
71311,13,16
120136,8,8
41518,24,24
51480,1,1
19741,17,17
81694,20,20
38198,1,1
83799,8,8
108488,3,3
116132,3,3
99910,3,3
123637,11,11
82849,18,18
111612,5,5
66933,22,22
80334,19,19
51289,27,27
69867,10,10
113195,17,17
47095,24,24
124807,17,17
50204,17,17
13973,8,8
93875,5,5
13343,17,17
105135,3,3
42055,17,17
52455,17,17
93754,8,8
112897,17,17
84841,2,2
7843,17,17
103763,15,15
89477,19,19
9122,14,14
77013,28,28
114389,28,28
29166,2,2
62378,17,17
45282,17,17
19419,23,23
118210,21,21
74680,11,10
20130,17,17
30742,17,17
58179,27,27
16126,11,11
19066,17,17
17688,17,17
40918,8,8
88625,17,17
19777,17,17
44993,25,25
110051,5,5
75657,17,17
2538,17,17
123702,19,19
59713,17,17
71961,22,18
18271,29,17
120172,8,8
30663,17,17
2540,8,8
40354,15,15
37974,17,17
56545,8,8
36339,1,1
33880,18,18
67247,17,17
31409,17,17
36605,5,5
117821,30,30
97571,28,28
78654,2,2
44660,8,8
118493,6,6
71850,18,18
24159,12,12
18509,17,17
81137,6,17
84756,21,21
56102,17,17
40939,12,17
99872,8,8
121383,30,30
55382,8,8
20485,8,8
35197,17,17
33836,17,17
96765,17,17
118649,28,12
77159,17,17
46127,17,17
86847,8,8
122417,22,22
6576,17,17
3049,6,6
100148,13,12
87747,0,29
33747,22,22
19574,3,3
24969,18,18
61163,8,8
6245,8,8
112927,12,12
35078,17,17
111084,17,17
109801,30,30
20696,29,29
87452,23,23
71467,8,8
89330,30,30
50963,8,8
24891,8,8
24483,17,17
39508,12,12
68829,17,7
8062,8,8
69514,17,17
59828,15,15
77588,17,17
67898,22,22
16522,16,16
92198,14,14
62724,17,17
94695,19,19
104541,12,12
84169,8,17
51623,2,2
2320,17,17
1938,8,8
65114,17,17
120842,20,20
5175,8,8
27767,17,17
115051,15,15
87184,17,17
23337,18,17
69742,15,15
28819,25,25
106282,28,28
32902,12,12
91572,0,0
105443,6,6
53477,22,22
49603,27,27
87559,3,3
54889,17,17
101127,11,11
117288,18,18
73760,12,12
78637,16,16
5061,21,21
25655,17,17
61132,17,17
112125,30,12
35487,22,22
5215,21,21
13141,5,8
111747,23,23
50458,25,25
114560,17,17
99414,18,18
73422,8,17
85740,8,8
113291,30,30
64144,24,26
11803,17,17
124084,3,17
108273,8,8
44641,8,8
81280,10,10
61620,17,17
38583,12,17
77020,10,10
12070,8,6
66447,15,15
45872,16,12
72987,22,22
12246,23,23
118608,10,10
119666,12,12
3241,5,5
23628,5,5
104802,3,3
37061,17,17
34777,17,17
72707,20,20
113662,21,21
22685,23,23
97025,10,10
87016,23,23
14477,17,17
106095,3,3
13195,29,29
42872,6,17
56163,17,17
80844,19,19
118811,30,17
85060,21,21
86922,30,30
62360,17,17
84199,17,17
2165,8,8
17656,18,18
27198,8,8
118964,17,17
76531,20,8
109997,12,12
54461,27,27
99078,0,0
86537,17,17
36377,17,17
124246,15,15
27680,7,7
36305,18,18
97545,6,17
60192,15,15
35718,5,5
14120,29,29
67371,23,23
104377,12,12
78838,27,27
90733,8,8
45157,16,17
46066,25,25
85619,17,17
117200,17,17
119681,13,13
98586,3,3
79894,20,20
40195,8,8
8688,8,8
105452,27,27
68753,17,17
17269,17,17
96305,30,25
88042,12,12
106555,20,20
116379,10,10
80796,15,15
56012,1,8
30168,17,17
21436,17,17
66607,27,27
50850,17,17
44694,27,27
70758,21,21
22384,14,14
85809,28,28
29413,25,25
139,27,27
94863,16,16
42862,18,18
120267,30,30
53360,25,25
60055,3,3
37016,5,5
3287,8,8
100383,7,7
58403,19,19
79136,6,6
44500,21,21
12560,27,27
8739,8,8
123042,22,22
49580,2,2
10970,16,16
99638,10,10
85146,15,15
31534,17,17
62935,15,15
8667,6,6
118288,10,12
116776,30,30
55564,2,2
6916,18,18
110554,18,18
42705,25,17
15872,17,17
69347,15,15
95013,3,3
7215,8,8
124018,12,12
33943,25,25
69071,22,22
78409,11,11
34464,3,3
99118,17,17
103758,11,11
16520,8,8
120447,16,16
62872,2,2
28348,8,8
66006,11,11
10829,17,17
42357,8,8
26220,22,22
40987,17,17
117105,26,26
55966,12,12
74494,17,17
114455,8,8
68227,15,15
15976,18,18
30263,17,17
105370,8,8
83975,22,17
38406,13,12
21549,18,18
40019,2,2
93455,12,27
72951,16,16
79755,6,6
120549,16,16
103887,12,12
105177,16,16
77357,27,5
51950,3,3
7336,17,17
89655,30,30
73457,12,12
37878,17,17
57403,17,17
87569,17,17
15774,17,17
13741,17,17
52490,8,8
67457,17,17
7119,8,8
17723,17,17
18308,2,17
33199,1,1
38582,17,17
52117,19,19
67676,17,17
17917,6,6
92832,30,30
25502,27,27
82364,10,10
5464,17,12
92857,11,11
53131,12,12
63606,17,17
6399,6,6
45545,3,3
122968,2,21
12187,17,17
81117,17,17
76168,22,22
12253,5,5
79480,2,2
117827,8,8
11265,17,17
18418,2,2
98270,4,4
11402,12,12
122297,3,3
90459,12,12
54136,21,21
20864,8,8
76826,17,17
42518,14,14
1592,15,17
69882,5,26
4704,17,17
109980,9,9
87712,8,8
42198,3,3
9209,17,17
34331,17,17
52677,17,17
87255,3,3
31043,11,11
81357,5,8
81771,21,21
80321,27,27
65770,14,14
115946,26,26
105245,17,17
543,14,14
91932,10,10
68110,17,17
60256,17,17
65652,17,12
16078,2,2
71528,17,17
39154,17,17
5488,21,21
101269,5,5
102465,17,17
61366,25,25
71946,17,17
68727,8,8
66847,17,17
64392,17,17
16755,15,11
33091,2,2
11114,17,17
115222,12,12
25967,17,17
102882,30,30
47504,10,10
50376,17,17
108104,12,12
101051,17,17
124814,21,21
119038,3,17
32581,28,28
107614,6,6
54789,18,18
104774,26,26
15694,8,8
24733,17,17
124160,0,0
30175,21,21
108093,8,8
105755,19,19
97129,26,26
124270,3,3
3310,17,17
24069,17,17
113043,12,12
11863,17,17
25195,2,2
113368,13,13
26626,17,17
113841,22,22
18237,8,8
963,17,17
25157,17,17
33900,17,17
95509,26,26
26147,25,25
44831,17,17
56426,17,17
108232,21,21
100017,8,8
109585,6,6
29217,12,12
99063,3,3
121457,12,12
33,17,17
12966,17,17
87574,17,17
117170,9,9
102323,19,19
74512,17,17
53791,20,20
63149,24,24
66482,8,8
101811,17,17
25983,17,17
106431,9,9
57722,17,17
47694,6,6
77884,14,14
92873,28,28
57837,17,17
27513,17,17
31615,8,8
32020,17,17
19903,18,18
123988,17,17
82407,5,5
20772,7,7
113730,30,30
40359,25,25
99695,16,16
1841,8,8
60404,17,17
101016,30,30
48278,17,17
6452,17,17
39598,8,8
57567,25,25
17971,8,8
51343,17,17
21656,17,17
24375,29,29
111374,12,12
72375,15,15
328,17,17
20763,22,22
112888,26,26
71800,24,24
118707,22,22
87305,17,17
90831,21,21
121135,16,16
120762,23,23
42739,8,8
110339,30,30
113111,5,5
65144,8,8
106210,16,16
34338,17,17
72422,17,17
